x,y,z,rx,ry,rz,speed
-13.804321183215546,0.0565223395824432,-0.9999999999999999,0.0,90.0,1.0127840352328425,5.0
-12.74238224979748,0.0535193979740143,-1.0,0.0,90.0,1.0127840352328425,5.361111111111111
-11.48099690624881,0.0499524474143982,-0.9999999999999999,0.0,90.0,1.0127840352328425,5.722222222222221
-10.410470707900716,0.0469211041927338,-0.9999999999999998,0.0,90.0,1.0127840352328425,6.083333333333332
-9.238227086136543,0.0435999259352684,-0.9999999999999999,0.0,90.0,1.0127840352328425,6.444444444444443
-7.968752952516071,0.0400022119283676,-0.9999999999999999,0.0,90.0,1.0127840352328425,6.805555555555554
-6.606536375713457,0.0361431390047073,-0.9999999999999997,0.0,90.0,1.0125908061199234,7.166666666666664
-5.156066304002772,0.0320394486188889,-0.9999999999999997,0.0,90.0,1.0125908061199234,7.527777777777775
-4.142271422011533,0.0291742086410522,-0.9999999999999998,0.0,90.0,1.0125908061199234,7.888888888888886
-3.0925747619581387,0.0262074917554855,-0.9999999999999998,0.0,90.0,1.0125908061199234,8.249999999999996
-2.0083089366843914,0.0231412947177887,-0.9999999999999998,0.0,90.0,1.0125908061199234,8.611111111111107
-0.8908021246817133,0.0199714377522469,-0.9999999999999997,0.0,90.0,1.0133635015336946,8.972222222222218
0.25861603469566097,0.0167175531387329,-0.9999999999999997,0.0,90.0,1.0125908061199234,9.333333333333329
1.4386159020934821,0.0133715718984604,-0.9999999999999997,0.0,90.0,1.0131703829202752,9.69444444444444
2.647867838157517,0.00994205474853516,-0.9999999999999996,0.0,90.0,1.0133635015336946,10.05555555555555
3.88504220353352,0.00643646717071533,-0.9999999999999996,0.0,90.0,1.0131703829202752,10.41666666666666
5.148809358867254,0.00285793840885162,-0.9999999999999997,0.0,90.0,1.0131703829202752,10.777777777777771
6.437841506823311,-0.00079704076051712,-0.9999999999999997,0.0,90.0,1.0123975401273395,11.138888888888882
7.750803481990941,-0.00452861189842224,-0.9999999999999996,0.0,90.0,1.0123975401273395,11.499999999999993
9.086373077087806,-0.00832438468933105,-0.9999999999999996,0.0,90.0,1.0123975401273395,11.861111111111104
10.443213092694652,-0.0121786892414093,-0.9999999999999997,0.0,90.0,1.0131703829202752,12.222222222222214
11.820001569986356,-0.0160791352391243,-0.9999999999999996,0.0,90.0,1.0133635015336946,12.583333333333325
13.21540505193117,-0.02004349604249,-0.9999999999999997,0.0,90.0,1.0133635015336946,12.944444444444436
14.62808987068503,-0.0240576267242432,-0.9999999999999996,0.0,90.0,1.0133635015336946,13.305555555555546
16.056734383641224,-0.0281227640807629,-0.9999999999999996,0.0,90.0,1.0133635015336946,13.666666666666657
17.500000864349907,-0.0322371870279312,-0.9999999999999997,0.0,90.0,1.0133635015336946,14.027777777777768
18.956567843371502,-0.0363917797803879,-0.9999999999999996,0.0,90.0,1.0127840352328425,14.388888888888879
20.425097436147055,-0.0405822545289993,-0.9999999999999996,0.0,90.0,1.0129772274936788,14.74999999999999
21.904268316288082,-0.0448028557002544,-0.9999999999999997,0.0,90.0,1.0129772274936788,15.1111111111111
23.392746697368743,-0.0490471422672272,-0.9999999999999994,0.0,90.0,1.0129772274936788,15.47222222222221
24.88919868755704,-0.0533156543970108,-0.9999999999999996,0.0,90.0,1.0131703829202752,15.833333333333321
